name,address,latitude,longitude,states
Betong,"LOT 773,",1.403814,111.536259,Sarawak
Bintangor,"BNTANGOR LEASE 51175, GROUND FOOR, ",2.170336,111.638211,Sarawak
Bintulu,"G – 21B, Times Square Shopping Mall,",3.197132,113.088033,Sarawak
Kanowit,"GROUND FLOOR, LOT 226 & 227,",2.10033,112.15755,Sarawak
Kapit,"GROUND FLOOR, LOT 463,",2.016606,112.940957,Sarawak
Kota Samarahan,"GD FLR,SUBLOT 9 (SURVEY LOT 4734) OF PARENT",1.460266,110.420122,Sarawak
Kuching,"Moyan Square, ",1.552279,110.372474,Sarawak
Lawas,"SUBLOT 6 & 7,",4.859945,115.409050,Sarawak
Limbang,"PARCEL NO. 2186-1-65 & PARCEL NO. 2186-1-39, ",4.755111,115.009548,Sarawak
Miri,"SHOP AG.01, BLOCK A,",4.479629,114.040033,Sarawak
Mukah,"MUKAH NEW TOWNSHIP, ",2.8923897,112.0902995,Sarawak
Saratok,"LOT 381-382, SARATOK BAZAAR,",1.741417,111.336514,Sarawak
Sarikei,"No. 32 & 32A, ",2.128979,111.523012,Sarawak
Serian,"Lot 269, Block 8, Kayan Land District, Tebedu 94760 Serian, Sarawak.",1.1791326,110.5645818,Sarawak
Sibu,"Lot 1150, Daro New Township Phase 2,",2.266375,111.862382,Sarawak
Sri Aman,"NO. 14, LOT 572,",1.0845438,111.1848835,Sarawak
Kota Belud,"Block D, ",6.3551899,116.42691779999996,Sabah
Kota Kinabalu,"1 PUTATAN, MILE 7 PUTATAN HIGHWAY,",5.900615 ,116.048113,Sabah
Kuala Lumpur,"Level 1, Menara Hap Seng, ",3.152450,101.707033,WP Kuala Lumpur
Bandar Labuan,"LOT 207505511, BANDAR LABUAN,",5.277480,115.242257,WP Labuan
